Report,What it does,When it runs,Output / Recipients,How to run,Category,Script file,Technical notes
Daily Data Refresh,Pulls the latest data from TryBooking's S3 storage and rebuilds the local data warehouse that the dashboard and all reports read from.,Every day at 02:00 (including weekends),Updates the dashboard automatically. No email sent.,python3 prepare_data.py - DuckDB only: python3 prepare_data.py --materialise-only,Daily automation,prepare_data.py,Builds SQLite (warehouse.db) and DuckDB (warehouse_duck.db). Runs weekends too - critical for month-end capture. Curls /api/warm after materialise. duckdb must be on PATH.
S3 to SharePoint Sync,Copies TryBooking's raw data files from S3 into SharePoint so the team can access them directly.,Weekdays at 02:15,SharePoint - Platform Data/Dashboard Data folder,python3 s3_to_sharepoint.py - preview without uploading: add --dry-run,Daily automation,s3_to_sharepoint.py,ETag-based sync - only uploads changed files. Manifest at /root/s3reporting/.sync_manifest.
Industry Sync,Keeps the Industry field in Zoho CRM up to date with the latest data from TryBooking.,Weekdays at 02:30,Zoho CRM (field updates only - no email),python3 zoho_industry.py,Daily automation,zoho_industry.py,OAuth2 refresh token flow. Mon-Fri only.
Tier & Retention Update,Recalculates which tier every account belongs to and updates Zoho CRM. Also updates the retention priority score used in the dashboard.,Weekdays at 02:45,Zoho CRM (tier fields); CSV saved to reports/; dashboard updated by 03:30,python3 zoho_tiers.py,Daily automation,zoho_tiers.py,"Tier v2: 55% current 12m revenue + 35% lifetime + 10% years loyalty. Bands: T1 top 2%, T2 3-10%, T3 11-25%, T4 26-50%, T5 51-100%. Writes retention_priority to SQLite then triggers a second DuckDB materialise at 03:30."
Users + Accounts Report,"Joins the TryBooking Users and Accounts S3 snapshots into one spreadsheet - one row per active user with their account's name, industry and sub-industry.",Every day at 02:50,SharePoint - Platform Data/Users and Accounts/users_accounts.csv (overwrites in place),python3 users_accounts_report.py - also save a local copy: --out /tmp/ua.csv,Daily automation,users_accounts_report.py,"Upload-only: builds in memory and uploads, no local PII copy left on the Pi unless --out is given. Reads the monthly Users + Accounts S3 snapshots, so timing isn't sensitive."
Nightly Backup,Backs up the Pi's databases and config files to SharePoint every night in case of hardware failure. All files are encrypted before upload.,Every day at 04:00,SharePoint - Backups/pi/YYYY-MM-DD/ (keeps last 7 days); every file stored encrypted as <name>.enc,python3 backup_to_sharepoint.py - skip databases: --no-warehouse - preview: --dry-run,Daily automation,backup_to_sharepoint.py,"Runs after the 03:30 materialise so the backup includes same-day data. Encrypts each file (streaming, bounded memory) with the key in /root/secrets/backup.key (BACKUP_SECRET_PASSPHRASE) - lose that key and backups are unrecoverable; a copy lives in the password manager. Restore with restore_from_sharepoint.py."
Weekly SalesIQ Report,Sends a summary of the week's Zoho SalesIQ chat activity to the team.,Every Tuesday at 08:00 (09:00 BST),Email to stakeholders,python3 salesiq_weekly.py,Weekly reports,salesiq_weekly.py,Pulls from Zoho SalesIQ API. Email via Azure Graph API. Runs 5 minutes before the accounts report.
Weekly New Accounts Report,Sends a report on new accounts signed up that week with year-on-year comparisons.,Every Tuesday at 08:05 (09:05 BST),Email to stakeholders; CSV saved to reports/,python3 weekly_reporting_unified.py - to test without sending: export TEST_MODE=1 first,Weekly reports,weekly_reporting_unified.py,TEST_MODE redirects email to test recipients. TEST_DATE overrides the processing date. Email via Azure Graph API (Mailgun fallback).
Monthly Commission Report,"Calculates monthly sales commissions for each salesperson based on accounts they claimed in Zoho whose first paid event has completed, and emails each person their own report.",Monthly on the 2nd at 06:00 (reports the previous month),PDF to each salesperson (sent to their Zoho login email); CSV summary to whoever manages commissions; CSVs saved to reports/,For previous month: export SCHEDULED_RUN=true then python3 sales_commission_report.py. Test: export TEST_MODE=1 first.,Monthly reports,sales_commission_report.py,"Runs on the 2nd so the prior month's S3 BookingData has finalised. Rates per person in sales_commission_config.json (rates only, no emails). Salesperson emails resolved from Zoho (Claimed user -> Zoho login email); needs ZohoCRM.users.READ scope. Email via Azure Graph API."
Planning Report,"Generates detailed planning metrics - useful for target-setting, seasonality analysis, and year-end reviews. Covers revenue, cohorts, geography, industry, and keywords.",Run manually when needed,CSVs saved to planning/ seasonality/ industry/ cohorts/ geography/ keywords/,python3 eoy_planning_report.py - choose a mode: rolling / monthly_review / custom (set start+end dates),On-demand reports,eoy_planning_report.py,Multiple output modes for different planning contexts. Requires GA4 credentials.
